vid,uid,s_min,s_sec,a_obj,split,label
NanMFkcGfrY,NanMFkcGfrY_10000_20000,0,10,harmonica_guitar,seen_train,v2
E38OzFQIb1M,E38OzFQIb1M_230000_240000,3,50,piano_cello,seen_train,v2
wT1j07E-Xec,wT1j07E-Xec_30000_40000,0,30,piano,seen_train,v2
UwOXThNKXxs,UwOXThNKXxs_26000_36000,0,26,guitar_man,seen_train,v2
dhic2cE57iM,dhic2cE57iM_108000_118000,1,48,erhu,seen_train,v2
azDsJByH8fw,azDsJByH8fw_184000_194000,3,4,man,seen_train,v2
9V6XZitOH84,9V6XZitOH84_45000_55000,0,45,woman,seen_train,v2
CtajDX5eOQU,CtajDX5eOQU_389000_399000,6,29,guitar_man,seen_train,v2
JegyTbinb08,JegyTbinb08_96000_106000,1,36,pipa,seen_train,v2
JRPkgBeYJE4,JRPkgBeYJE4_95000_105000,1,35,piano_drum_guitar_erhu,seen_train,v2
-HeRZSisQLY,-HeRZSisQLY_10000_20000,0,10,keyboard,seen_train,v2
MDyjY3uiWp0,MDyjY3uiWp0_368000_378000,6,8,saw,seen_train,v2
CmtGLf7a_XM,CmtGLf7a_XM_10000_20000,0,10,piano_guitar,seen_train,v2
9MXJhbWxF8o,9MXJhbWxF8o_40000_50000,0,40,piano,seen_train,v2
hOjAPnHgWQE,hOjAPnHgWQE_20000_30000,0,20,sitar,seen_train,v2
emLStHiqfyo_0,emLStHiqfyo_0,0,0,piano_violin,seen_train,v1m
C3Y8KyfS6HI,C3Y8KyfS6HI_0_10000,0,0,utv_man,seen_train,v2
LYRJXfjtQJk,LYRJXfjtQJk_150000_160000,2,30,bird_man,seen_train,v2
wW2IG_gjma8,wW2IG_gjma8_1000_11000,0,1,airplane,seen_train,v2
BFOs3FOpR6Y,BFOs3FOpR6Y_75000_85000,1,15,saxophone_trombone,seen_train,v2
-iPvFoDVJLM,-iPvFoDVJLM_110000_120000,1,50,dog_man,seen_train,v2
VFjIoNwrKio,VFjIoNwrKio_1515000_1525000,25,15,tabla_sitar,seen_train,v2
hOjAPnHgWQE,hOjAPnHgWQE_180000_190000,3,0,sitar,seen_train,v2
uOSaZky7hf0,uOSaZky7hf0_90000_100000,1,30,woman_guitar,seen_train,v2
amnXQw15Pzc,amnXQw15Pzc_357000_367000,5,57,gun_man,seen_train,v2
qbpzeMEPjlo,qbpzeMEPjlo_119000_129000,1,59,tank,seen_train,v2
FsSl_rq6X44,FsSl_rq6X44_17000_27000,0,17,guitar,seen_train,v2
Mat3hzBcqPQ,Mat3hzBcqPQ_220000_230000,3,40,airplane,seen_train,v2
jkaCysS7APs,jkaCysS7APs_0_10000,0,0,guitar,seen_train,v2
6KT2mbCNxO4,6KT2mbCNxO4_120000_130000,2,0,tractor,seen_train,v2
uCK7Gok3u0U_1,uCK7Gok3u0U_1,0,0,man_piano,seen_train,v1m
