vid,uid,s_min,s_sec,a_obj,split,label
__GOGlHL23s,__GOGlHL23s_4000_9000,0,4,bird,val,v1s
__ZkQzOL9Ac,__ZkQzOL9Ac_1000_6000,0,1,bird,val,v1s
_-2Juad6tOo,_-2Juad6tOo_0_5000,0,0,mower,train,v1s
_-apT0tfo6U,_-apT0tfo6U_16000_26000,0,16,guitar,train,v2
_-apT0tfo6U,_-apT0tfo6U_60000_70000,1,0,girl_guitar,train,v2
_-apT0tfo6U,_-apT0tfo6U_140000_150000,2,20,girl_guitar,train,v2
_-R5EPaybpk,_-R5EPaybpk_0_5000,0,0,lion,train,v1s
_0je75Y8CmU,_0je75Y8CmU_30000_40000,0,30,girl_guitar,train,v2
_0je75Y8CmU,_0je75Y8CmU_60000_70000,1,0,girl_guitar,train,v2
_0V9pmpgzrI,_0V9pmpgzrI_0_5000,0,0,car,train,v1s
_1-jlHEhfvc,_1-jlHEhfvc_0_5000,0,0,saw,train,v1s
_19NVGk6Zt8_0,_19NVGk6Zt8_0,0,0,guitar,train,v1m
_2csfAj7jH0,_2csfAj7jH0_11000_21000,0,11,squirrel,train,v2
_2EcEHAVE-Y,_2EcEHAVE-Y_5000_15000,0,5,piano,train,v2
_2EcEHAVE-Y,_2EcEHAVE-Y_90000_100000,1,30,piano,train,v2
_2EcEHAVE-Y,_2EcEHAVE-Y_295000_305000,4,55,piano,train,v2
_2iiFV3Oe4Q,_2iiFV3Oe4Q_0_5000,0,0,emergency-car,train,v1s
_3pLesuLT4w,_3pLesuLT4w_60000_70000,1,0,guzheng,train,v2
_3sLoESUCfg,_3sLoESUCfg_0_5000,0,0,bus,train,v1s
_4NEAgqguN0,_4NEAgqguN0_222000_232000,3,42,bell,train,v2
_4R3qHn1n50,_4R3qHn1n50_0_5000,0,0,mower,test,v1s
_4SOzdMGEgI,_4SOzdMGEgI_20000_30000,0,20,piano,train,v2
_4wY-sb3BGM,_4wY-sb3BGM_5000_10000,0,5,piano,train,v1s
