vid,uid,s_min,s_sec,a_obj,split,label
_3pLesuLT4w,_3pLesuLT4w_60000_70000,,,,v3_1_shot_train,v2
_9YQdLAGXDA,_9YQdLAGXDA_1000_11000,,,,v3_1_shot_train,v2
_ix1jp3v8oE,_ix1jp3v8oE_30000_40000,,,,v3_1_shot_train,v2
--yub8O1H0Y,--yub8O1H0Y_25000_35000,,,,v3_1_shot_train,v2
-05wY41ht1s,-05wY41ht1s_123000_133000,,,,v3_1_shot_train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_8000_18000,,,,v3_1_shot_train,v2
-DecEWIegKU,-DecEWIegKU_40000_50000,,,,v3_1_shot_train,v2
-jmQrNEAr54,-jmQrNEAr54_12000_22000,,,,v3_1_shot_train,v2
0dIKPNqqxhw,0dIKPNqqxhw_50000_60000,,,,v3_1_shot_train,v2
5EllFCrnSYc,5EllFCrnSYc_495000_505000,,,,v3_1_shot_train,v2
7PSyVqoTLbg,7PSyVqoTLbg_67000_77000,,,,v3_1_shot_train,v2
